trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.06, 'e': 0.36714441755772176}",20,7,5.951082431825606,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.06, 'e': 0.36494814645449447}",20,12,-20.39671442420896,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.06, 'e': 0.3627650135239539}",20,13,12.450677338999887,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.06, 'e': 0.3605949401730789}",30,23,10.710243307921548,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.06, 'e': 0.3584378482789945}",20,0,-5.53168236415269,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.06, 'e': 0.3562936601861594}",20,0,-94.15619160887766,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
173,False,"{'a': 0.06, 'e': 0.3541622987035708}",25,7,-25.659835111594802,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.06, 'e': 0.352043687101985}",30,19,20.414948547353674,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.06, 'e': 0.3499377491111558}",25,0,-64.34892729180694,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
176,False,"{'a': 0.06, 'e': 0.3478444089170879}",30,6,18.12826288212996,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.06, 'e': 0.34576359115930816}",25,4,-17.6558988222644,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 0}",1
178,False,"{'a': 0.06, 'e': 0.34369522092815274}",25,1,-36.82265985673925,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 0}",1
179,False,"{'a': 0.06, 'e': 0.34163922376206984}",20,0,4.9462749699419675,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.06, 'e': 0.33959552564493944}",25,17,14.766379190180086,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.06, 'e': 0.33756405300340864}",20,9,13.886317774120053,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.06, 'e': 0.33554473270424295}",20,7,-47.8527549521357,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
183,False,"{'a': 0.06, 'e': 0.3335374920516934}",25,12,-1.1656628865998782,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.06, 'e': 0.3315422587848799}",30,12,-59.10159611346214,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
185,False,"{'a': 0.06, 'e': 0.3295589610751892}",25,14,-6.092541851398014,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.06, 'e': 0.32758752752368964}",20,12,5.665823309853943,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.06, 'e': 0.32562788715856045}",25,15,-25.542038530673196,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.06, 'e': 0.3236799694325368}",20,6,-27.51485414802636,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.06, 'e': 0.3217437042203702}",20,1,-74.01029117260477,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
190,False,"{'a': 0.06, 'e': 0.31981902181630395}",30,12,-16.349417128833416,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.06, 'e': 0.3179058529315635}",30,16,-31.825712447751307,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.06, 'e': 0.31600412869186245}",20,0,-39.662998951745095,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
193,False,"{'a': 0.06, 'e': 0.3141137806349229}",20,3,7.059787242033807,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.06, 'e': 0.31223474070801044}",30,0,16.30545451622655,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
195,False,"{'a': 0.06, 'e': 0.31036694126548486}",20,11,15.484605967572584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.06, 'e': 0.3085103150663646}",20,13,11.161586215030447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.06, 'e': 0.30666479527190577}",25,0,-19.231940496415273,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
198,False,"{'a': 0.06, 'e': 0.30483031544319666}",30,19,-4.964678704955692,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.06, 'e': 0.3030068095387652}",20,6,-20.65326878307909,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.06, 'e': 0.30119421191220186}",25,0,-96.40073366895301,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
201,False,"{'a': 0.06, 'e': 0.2993924573097964}",25,15,7.303959246696724,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.06, 'e': 0.2976014808681885}",35,0,-54.3337017992961,"{0: 30, 1: 0, 2: 2, 3: 2, 4: 1}",0
203,False,"{'a': 0.06, 'e': 0.2958212181120329}",30,0,-82.39982275562534,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
204,False,"{'a': 0.06, 'e': 0.29405160495167804}",30,5,-39.87861511770694,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",1
205,False,"{'a': 0.06, 'e': 0.29229257768085903}",20,0,-44.041879393660906,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
206,False,"{'a': 0.06, 'e': 0.2905440729744042}",25,6,16.731449850038054,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.06, 'e': 0.2888060278859553}",30,0,3.138803663218216,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
208,False,"{'a': 0.06, 'e': 0.2870783798457012}",30,4,-26.798546045721917,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
209,False,"{'a': 0.06, 'e': 0.2853610666581262}",20,3,28.751215850455566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.06, 'e': 0.28365402649976995}",20,0,-77.69847532130322,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
211,False,"{'a': 0.06, 'e': 0.28195719791700224}",25,0,-27.51224136472228,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
212,False,"{'a': 0.06, 'e': 0.28027051982381107}",25,15,14.637272683411915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.06, 'e': 0.2785939314996027}",20,6,19.788134027207107,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.06, 'e': 0.27692737258701655}",30,0,-16.702575075750072,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
215,False,"{'a': 0.06, 'e': 0.2752707830897518}",25,17,-31.57780731264292,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
216,False,"{'a': 0.06, 'e': 0.27362410337040743}",25,0,-20.099681725978414,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
217,False,"{'a': 0.06, 'e': 0.2719872741483359}",25,2,11.625438843199916,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
218,False,"{'a': 0.06, 'e': 0.2703602364975084}",20,13,5.493353398207465,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.06, 'e': 0.2687429318443937}",25,16,13.666679768265377,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.06, 'e': 0.2671353019658497}",35,2,37.19570154493356,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.06, 'e': 0.2655372889870271}",25,0,-31.69090221993005,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
222,False,"{'a': 0.06, 'e': 0.2639488353792861}",20,4,17.093017351280697,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.06, 'e': 0.26236988395812527}",25,3,-16.236009182557655,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
224,False,"{'a': 0.06, 'e': 0.2608003778811229}",20,9,-25.261513271054966,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
225,False,"{'a': 0.06, 'e': 0.25924026064589073}",25,15,6.42107491995119,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.06, 'e': 0.2576894760880398}",20,15,-10.09268651279498,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
227,False,"{'a': 0.06, 'e': 0.25614796837915854}",25,8,33.436452576267826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.06, 'e': 0.25461568202480295}",25,11,-15.847861228294473,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.06, 'e': 0.2530925618624988}",25,11,22.46374766331602,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.06, 'e': 0.2515785530597556}",20,0,-44.43533352441978,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
231,False,"{'a': 0.06, 'e': 0.25007360111209326}",20,14,2.9973136157030957,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.06, 'e': 0.24857765184107883}",20,0,-5.32741114561711,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
233,False,"{'a': 0.06, 'e': 0.24709065139237707}",30,6,7.948417487585315,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
234,False,"{'a': 0.06, 'e': 0.24561254623381132}",20,5,10.485590839239933,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.06, 'e': 0.24414328315343617}",20,0,-9.312340904432078,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
236,False,"{'a': 0.06, 'e': 0.242682809257622}",25,10,-6.982574456795829,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
237,False,"{'a': 0.06, 'e': 0.24123107196915095}",25,17,4.093182699280749,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.06, 'e': 0.23978801902532376}",30,0,-17.556581472151397,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
239,False,"{'a': 0.06, 'e': 0.23835359847607857}",35,28,12.27465015359889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.06, 'e': 0.23692775868212076}",20,0,-11.87962578170805,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
241,False,"{'a': 0.06, 'e': 0.23551044831306372}",25,11,9.371053139065767,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.06, 'e': 0.23410161634558116}",35,17,2.5682635505064653,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.06, 'e': 0.23270121206157002}",25,11,27.231944410158793,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.06, 'e': 0.23130918504632483}",20,0,-40.5842417664901,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
245,False,"{'a': 0.06, 'e': 0.22992548518672276}",20,7,-24.01488429252973,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.06, 'e': 0.22855006266941943}",25,0,-23.145415163938928,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
247,False,"{'a': 0.06, 'e': 0.22718286797905554}",20,10,-21.85837943173236,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.06, 'e': 0.22582385189647478}",20,10,-32.986313560349274,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
249,False,"{'a': 0.06, 'e': 0.22447296549695125}",25,18,11.675354068211556,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.06, 'e': 0.22313016014842868}",20,4,20.01363582583358,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.06, 'e': 0.2217953875097696}",25,16,14.938048395127415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.06, 'e': 0.22046859952901476}",20,3,-49.613810850239005,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
253,False,"{'a': 0.06, 'e': 0.21914974844165364}",25,11,15.172250740947662,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.06, 'e': 0.2178387867689046}",20,7,4.26911408217331,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.06, 'e': 0.21653566731600585}",25,4,-36.81296863234921,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
256,False,"{'a': 0.06, 'e': 0.21524034317051638}",35,19,-16.38131184928574,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.06, 'e': 0.21395276770062704}",20,2,15.39016592388625,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.06, 'e': 0.21267289455348182}",25,14,10.748109100511622,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.06, 'e': 0.21140067765350926}",25,18,11.598056820206303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.06, 'e': 0.21013607120076352}",25,3,12.752749716867857,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.06, 'e': 0.20887902966927568}",20,3,24.863886532044656,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.06, 'e': 0.20762950780541495}",25,11,-39.29816660195323,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
263,False,"{'a': 0.06, 'e': 0.20638746062625923}",20,14,11.119301812365023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.06, 'e': 0.20515284341797588}",30,2,6.063533095573789,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
